type,name,module,line,snippet
function-declaration,createWorldModularGarageInteractable,,6804,
function-declaration,worldHeroPowerCards,,6818,
function-declaration,openWorldHeroCenter,,6819,
function-declaration,createHeroPlatform,,6827,
function-declaration,createHeroToken,,6828,
function-declaration,createWorldHeroAdventure,,6829,
function-declaration,resetWorldHeroTokens,,6837,
function-declaration,startWorldHeroChallenge,,6838,
function-declaration,completeWorldHeroChallenge,,6841,
function-declaration,updateWorldHeroAdventure,,6842,
function-declaration,ensureWorldHeroHud,,6849,
function-declaration,updateWorldHeroHud,,6852,
function-declaration,bootstrapOtthiWorldShell,,6862,
